"@timestamp",service,message,level,logger,traceId
"Aug 8, 2026 @ 22:44:39.822","bff-service","method=POST uri=/api/carts status=200 durationMs=131",INFO,"bff.config.AccessLogFilter","b7164df0-ca01-475d-a552-e7ccde6504c8"
"Aug 8, 2026 @ 22:44:38.962",unknown,"10.244.0.1 - - [08/Aug/2026:13:44:38 +0000] ""POST /api/carts HTTP/1.1"" 200 133 ""http://192.168.160.100:30000/stores/1"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:44:38.955","bff-service","method=POST uri=/api/carts status=200 durationMs=6367",INFO,"bff.config.AccessLogFilter","09936bc2-9740-4608-8c01-c175b53c6280"
"Aug 8, 2026 @ 22:44:36.990",unknown,"10.244.0.1 - - [08/Aug/2026:13:44:36 +0000] ""GET / HTTP/1.1"" 200 460 ""-"" ""kube-probe/1.35"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:44:36.462",unknown,"10.244.0.1 - - [08/Aug/2026:13:44:36 +0000] ""GET / HTTP/1.1"" 200 460 ""-"" ""kube-probe/1.35"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:44:34.004",unknown,"10.244.0.1 - - [08/Aug/2026:13:44:34 +0000] ""POST /api/ai/recommend HTTP/1.1"" 200 61 ""http://192.168.160.100:30000/stores/1"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:44:34.002","bff-service","method=POST uri=/api/ai/recommend status=200 durationMs=1791",INFO,"bff.config.AccessLogFilter","07c14636-9eb0-4484-829d-2e3a46893a38"
"Aug 8, 2026 @ 22:44:33.766","bff-service","method=GET uri=/actuator/health/readiness status=200 durationMs=25",INFO,"bff.config.AccessLogFilter","ad85486a-7d91-4444-906d-5659a7f1d958"
"Aug 8, 2026 @ 22:44:33.605","bff-service","method=GET uri=/actuator/health/liveness status=200 durationMs=70",INFO,"bff.config.AccessLogFilter","066cafcc-cb26-4a2d-9f92-8bd32d60743a"
"Aug 8, 2026 @ 22:44:32.583",unknown,"10.244.0.1 - - [08/Aug/2026:13:44:32 +0000] ""POST /api/stores/reviews/list HTTP/1.1"" 200 12 ""http://192.168.160.100:30000/stores/1"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:44:32.582","bff-service","method=POST uri=/api/stores/reviews/list status=200 durationMs=370",INFO,"bff.config.AccessLogFilter","51666755-4d3c-443f-a804-373310b67db4"
"Aug 8, 2026 @ 22:44:32.458",unknown,"10.244.0.1 - - [08/Aug/2026:13:44:32 +0000] ""POST /api/stores/find HTTP/1.1"" 200 338 ""http://192.168.160.100:30000/stores/1"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:44:32.457","bff-service","method=POST uri=/api/stores/find status=200 durationMs=273",INFO,"bff.config.AccessLogFilter","b35f792a-eb73-4eb0-9204-f8fbb6471c99"
"Aug 8, 2026 @ 22:44:32.419",unknown,"10.244.0.1 - - [08/Aug/2026:13:44:32 +0000] ""POST /api/stores/products/list HTTP/1.1"" 200 567 ""http://192.168.160.100:30000/stores/1"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:44:32.418","bff-service","method=POST uri=/api/stores/products/list status=200 durationMs=201",INFO,"bff.config.AccessLogFilter","7fd122c8-736f-49f9-8419-c4f491a54da7"
"Aug 8, 2026 @ 22:44:32.400",unknown,"10.244.0.1 - - [08/Aug/2026:13:44:32 +0000] ""POST /api/public-notifications/list HTTP/1.1"" 200 12 ""http://192.168.160.100:30000/stores/1"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:44:32.398","bff-service","method=POST uri=/api/public-notifications/list status=200 durationMs=486",INFO,"bff.config.AccessLogFilter","d26a3c1a-0f4b-4a3f-a523-0be89c6b8dae"
"Aug 8, 2026 @ 22:44:32.383",unknown,"10.244.0.1 - - [08/Aug/2026:13:44:32 +0000] ""POST /api/notifications/list HTTP/1.1"" 200 12 ""http://192.168.160.100:30000/stores/1"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:44:32.382","bff-service","method=POST uri=/api/notifications/list status=200 durationMs=472",INFO,"bff.config.AccessLogFilter","e1d5d8a8-e2d7-4090-bd52-ce909f5440d1"
"Aug 8, 2026 @ 22:44:32.332","bff-service","[CB] listMyNotifications fallback: {} I/O error on POST request for ""http://notification-service/api/notifications/list"": null",WARN,"bff.client.NotificationClient","e1d5d8a8-e2d7-4090-bd52-ce909f5440d1"
"Aug 8, 2026 @ 22:44:32.331","bff-service","[CB] listPublicNotifications fallback: I/O error on POST request for ""http://notification-service/api/public-notifications/list"": null",WARN,"bff.client.NotificationClient","d26a3c1a-0f4b-4a3f-a523-0be89c6b8dae"
"Aug 8, 2026 @ 22:44:27.345","bff-service","method=GET uri=/actuator/prometheus status=200 durationMs=84",INFO,"bff.config.AccessLogFilter","d42445c4-f5aa-49cb-8e1e-f5cd9c50764b"
"Aug 8, 2026 @ 22:44:26.990",unknown,"10.244.0.1 - - [08/Aug/2026:13:44:26 +0000] ""GET / HTTP/1.1"" 200 460 ""-"" ""kube-probe/1.35"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:44:26.461",unknown,"10.244.0.1 - - [08/Aug/2026:13:44:26 +0000] ""GET / HTTP/1.1"" 200 460 ""-"" ""kube-probe/1.35"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:44:23.755","bff-service","method=GET uri=/actuator/health/readiness status=200 durationMs=38",INFO,"bff.config.AccessLogFilter","5b65222f-0ce1-4079-bae1-8606c5d03dc4"
"Aug 8, 2026 @ 22:44:23.544","bff-service","method=GET uri=/actuator/health/liveness status=200 durationMs=9",INFO,"bff.config.AccessLogFilter","7f2040f5-760d-4965-8a07-bfc191a44c53"
"Aug 8, 2026 @ 22:44:16.991",unknown,"10.244.0.1 - - [08/Aug/2026:13:44:16 +0000] ""GET / HTTP/1.1"" 200 460 ""-"" ""kube-probe/1.35"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:44:16.461",unknown,"10.244.0.1 - - [08/Aug/2026:13:44:16 +0000] ""GET / HTTP/1.1"" 200 460 ""-"" ""kube-probe/1.35"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:44:13.717","bff-service","method=GET uri=/actuator/health/readiness status=200 durationMs=5",INFO,"bff.config.AccessLogFilter","1040390f-ef67-49c0-b768-109e8bf2c577"
"Aug 8, 2026 @ 22:44:13.550","bff-service","method=GET uri=/actuator/health/liveness status=200 durationMs=11",INFO,"bff.config.AccessLogFilter","19d61e4a-25f3-429c-882b-c4a2773123bc"
"Aug 8, 2026 @ 22:44:12.416","bff-service","method=GET uri=/actuator/prometheus status=200 durationMs=157",INFO,"bff.config.AccessLogFilter","f69a483b-a62b-4c1e-a593-b00124c646ea"
"Aug 8, 2026 @ 22:44:06.991",unknown,"10.244.0.1 - - [08/Aug/2026:13:44:06 +0000] ""GET / HTTP/1.1"" 200 460 ""-"" ""kube-probe/1.35"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:44:06.461",unknown,"10.244.0.1 - - [08/Aug/2026:13:44:06 +0000] ""GET / HTTP/1.1"" 200 460 ""-"" ""kube-probe/1.35"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:44:03.732","bff-service","method=GET uri=/actuator/health/readiness status=200 durationMs=18",INFO,"bff.config.AccessLogFilter","a057ec0e-26d7-4791-8ca4-fc356183e3d6"
"Aug 8, 2026 @ 22:44:03.581","bff-service","method=GET uri=/actuator/health/liveness status=200 durationMs=47",INFO,"bff.config.AccessLogFilter","fdfbf9dd-8aae-4cf5-8b9f-a26316c153ea"
"Aug 8, 2026 @ 22:43:58.343",unknown,"10.244.0.1 - - [08/Aug/2026:13:43:58 +0000] ""POST /api/ai/chat HTTP/1.1"" 200 529 ""http://192.168.160.100:30000/stores/1"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:43:58.342","bff-service","method=POST uri=/api/ai/chat status=200 durationMs=12431",INFO,"bff.config.AccessLogFilter","8a06bb91-fabc-4db1-a6eb-52c1570e2128"
"Aug 8, 2026 @ 22:43:57.358","bff-service","method=GET uri=/actuator/prometheus status=200 durationMs=99",INFO,"bff.config.AccessLogFilter","fe75b233-7f24-4156-988e-f91d00a5e511"
"Aug 8, 2026 @ 22:43:56.990",unknown,"10.244.0.1 - - [08/Aug/2026:13:43:56 +0000] ""GET / HTTP/1.1"" 200 460 ""-"" ""kube-probe/1.35"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:43:56.461",unknown,"10.244.0.1 - - [08/Aug/2026:13:43:56 +0000] ""GET / HTTP/1.1"" 200 460 ""-"" ""kube-probe/1.35"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:43:53.723","bff-service","method=GET uri=/actuator/health/readiness status=200 durationMs=12",INFO,"bff.config.AccessLogFilter","a3bad6c8-f5d4-40a9-8539-8d7ebbcebba3"
"Aug 8, 2026 @ 22:43:53.552","bff-service","method=GET uri=/actuator/health/liveness status=200 durationMs=20",INFO,"bff.config.AccessLogFilter","21308808-ccdf-4d62-97b3-56e3f67e8f71"
"Aug 8, 2026 @ 22:43:49.068",unknown,"10.244.0.1 - - [08/Aug/2026:13:43:49 +0000] ""POST /api/notifications/list HTTP/1.1"" 200 12 ""http://192.168.160.100:30000/stores/1"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:43:49.067","bff-service","method=POST uri=/api/notifications/list status=200 durationMs=38",INFO,"bff.config.AccessLogFilter","fa8f6f68-130c-445b-ac21-ac44082b4dd3"
"Aug 8, 2026 @ 22:43:49.061","bff-service","[CB] listMyNotifications fallback: {} I/O error on POST request for ""http://notification-service/api/notifications/list"": null",WARN,"bff.client.NotificationClient","fa8f6f68-130c-445b-ac21-ac44082b4dd3"
"Aug 8, 2026 @ 22:43:46.991",unknown,"10.244.0.1 - - [08/Aug/2026:13:43:46 +0000] ""GET / HTTP/1.1"" 200 460 ""-"" ""kube-probe/1.35"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:43:46.460",unknown,"10.244.0.1 - - [08/Aug/2026:13:43:46 +0000] ""GET / HTTP/1.1"" 200 460 ""-"" ""kube-probe/1.35"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:43:43.721","bff-service","method=GET uri=/actuator/health/readiness status=200 durationMs=10",INFO,"bff.config.AccessLogFilter","f5813779-ce96-401e-a297-64272d7245f9"
"Aug 8, 2026 @ 22:43:43.672","bff-service","method=GET uri=/actuator/health/liveness status=200 durationMs=138",INFO,"bff.config.AccessLogFilter","b7695620-403f-43e9-98fe-6bd77d33d410"
"Aug 8, 2026 @ 22:43:42.365","bff-service","method=GET uri=/actuator/prometheus status=200 durationMs=106",INFO,"bff.config.AccessLogFilter","9e099863-76b2-4f4c-90f3-1dfc103dab34"
"Aug 8, 2026 @ 22:43:36.991",unknown,"10.244.0.1 - - [08/Aug/2026:13:43:36 +0000] ""GET / HTTP/1.1"" 200 460 ""-"" ""kube-probe/1.35"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:43:36.460",unknown,"10.244.0.1 - - [08/Aug/2026:13:43:36 +0000] ""GET / HTTP/1.1"" 200 460 ""-"" ""kube-probe/1.35"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:43:33.721","bff-service","method=GET uri=/actuator/health/readiness status=200 durationMs=10",INFO,"bff.config.AccessLogFilter","534dac23-2aac-4cc6-9774-7cd49f834839"
"Aug 8, 2026 @ 22:43:33.547","bff-service","method=GET uri=/actuator/health/liveness status=200 durationMs=13",INFO,"bff.config.AccessLogFilter","e0dd68e4-f96b-4f9e-b3ce-fb292a584535"
"Aug 8, 2026 @ 22:43:27.341","bff-service","method=GET uri=/actuator/prometheus status=200 durationMs=81",INFO,"bff.config.AccessLogFilter","23943517-b6c3-4422-a374-fa810e6b541b"
"Aug 8, 2026 @ 22:43:26.991",unknown,"10.244.0.1 - - [08/Aug/2026:13:43:26 +0000] ""GET / HTTP/1.1"" 200 460 ""-"" ""kube-probe/1.35"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:43:26.461",unknown,"10.244.0.1 - - [08/Aug/2026:13:43:26 +0000] ""GET / HTTP/1.1"" 200 460 ""-"" ""kube-probe/1.35"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:43:23.721","bff-service","method=GET uri=/actuator/health/readiness status=200 durationMs=10",INFO,"bff.config.AccessLogFilter","11857ef0-b040-456b-a31d-675e46ec9e97"
"Aug 8, 2026 @ 22:43:23.550","bff-service","method=GET uri=/actuator/health/liveness status=200 durationMs=17",INFO,"bff.config.AccessLogFilter","d6351240-17fc-47e0-880e-c2bdb27c56f7"
